{'ts': '20201217_161020_964', 'ring_rad': -2.361438822652995, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_973', 'ring_rad': -2.3590327212697724, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_978', 'ring_rad': -2.4053607468894, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_984', 'ring_rad': -2.303824984032981, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_990', 'ring_rad': -2.471446494932825, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_998', 'ring_rad': -2.308962016394909, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_006', 'ring_rad': -2.371192322753972, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_022', 'ring_rad': -2.3839445664349332, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_030', 'ring_rad': -2.3313366294132143, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_038', 'ring_rad': -2.3231283523053747, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_044', 'ring_rad': -2.3495683368968097, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_051', 'ring_rad': -2.292424050223899, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_058', 'ring_rad': -2.3554057983848025, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_064', 'ring_rad': -2.3924217288307865, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_069', 'ring_rad': -2.2913290990782746, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_080', 'ring_rad': -2.273940404003794, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_086', 'ring_rad': -2.308060829037191, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_093', 'ring_rad': -2.2573634819311192, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_099', 'ring_rad': -2.3568478916290356, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_107', 'ring_rad': -2.260505168747488, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_113', 'ring_rad': -2.3010901893417466, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_119', 'ring_rad': -2.339470673516633, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_125', 'ring_rad': -2.3530038348845705, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_133', 'ring_rad': -2.3803713422013546, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_145', 'ring_rad': -2.304696714841755, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_158', 'ring_rad': -2.335027658486595, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_164', 'ring_rad': -2.280921554667319, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_170', 'ring_rad': -2.2950206543539142, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_177', 'ring_rad': -2.292724801065069, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_184', 'ring_rad': -2.288370704173918, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_190', 'ring_rad': -2.2917897023565286, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_198', 'ring_rad': -2.3419068255659137, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_204', 'ring_rad': -2.409363402225023, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_214', 'ring_rad': -2.2989319268864503, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_220', 'ring_rad': -2.2834576362025283, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_226', 'ring_rad': -2.3081556332247795, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_233', 'ring_rad': -2.2088027875663703, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_239', 'ring_rad': -2.2762831611054977, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_245', 'ring_rad': -2.138865252542747, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_252', 'ring_rad': -2.3113348324506386, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_259', 'ring_rad': -2.3488829854258215, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_267', 'ring_rad': -2.2848989779507796, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_274', 'ring_rad': -2.249689499765219, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_279', 'ring_rad': -2.286133267789679, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_284', 'ring_rad': -2.2834371826873077, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_289', 'ring_rad': -2.302669749812867, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_295', 'ring_rad': -2.242282637444479, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_300', 'ring_rad': -2.3832879021976514, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_305', 'ring_rad': -2.220523497518075, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_309', 'ring_rad': -2.31884641638612, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_316', 'ring_rad': -2.32430524709532, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_326', 'ring_rad': -2.294450426544312, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_339', 'ring_rad': -2.2969265706806565, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_344', 'ring_rad': -2.334420399753815, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_350', 'ring_rad': -2.3355810926599765, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_358', 'ring_rad': -2.3364911465864524, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_365', 'ring_rad': -2.318881453470263, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_371', 'ring_rad': -2.3948008060058332, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_377', 'ring_rad': -2.4117930248544917, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_383', 'ring_rad': -2.2629247672809414, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_390', 'ring_rad': -2.317891381734242, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_398', 'ring_rad': -2.3768796541195636, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_403', 'ring_rad': -2.3547186358216803, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_409', 'ring_rad': -2.2618375540268363, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_417', 'ring_rad': -2.3391152003459363, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_422', 'ring_rad': -2.3721501900864195, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_429', 'ring_rad': -2.2805933006915935, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_437', 'ring_rad': -2.302472177554778, 'Vout': 2.25, 'pic value': -2.25}
