{'pic value': 0.029124241287849184, 'ts': '20171130_100045_174', 'ring_rad': 100.05843248944475, 'Vout': 0.529124}
{'pic value': 0.029167738396866687, 'ts': '20171130_100045_186', 'ring_rad': 100.04895167506746, 'Vout': 0.52917}
{'pic value': 0.029086026974932618, 'ts': '20171130_100045_196', 'ring_rad': 100.06270068707708, 'Vout': 0.529091}
{'pic value': 0.028957313339990763, 'ts': '20171130_100045_203', 'ring_rad': 100.08393008502226, 'Vout': 0.528966}
{'pic value': 0.028903109243243498, 'ts': '20171130_100045_211', 'ring_rad': 100.08834066605708, 'Vout': 0.528915}
{'pic value': 0.028739824684529274, 'ts': '20171130_100045_220', 'ring_rad': 100.11254219629102, 'Vout': 0.528755}
{'pic value': 0.02890784170847839, 'ts': '20171130_100045_232', 'ring_rad': 100.06880463653386, 'Vout': 0.528926}
{'pic value': 0.0286925917693719, 'ts': '20171130_100045_239', 'ring_rad': 100.0999605231243, 'Vout': 0.528713}
{'pic value': 0.028753958363307606, 'ts': '20171130_100045_246', 'ring_rad': 100.07422972259805, 'Vout': 0.528777}
{'pic value': 0.028796667021674868, 'ts': '20171130_100045_255', 'ring_rad': 100.05093940614847, 'Vout': 0.528822}
{'pic value': 0.028702153291193678, 'ts': '20171130_100045_263', 'ring_rad': 100.05387347898788, 'Vout': 0.528729}
{'pic value': 0.02872380700633256, 'ts': '20171130_100045_276', 'ring_rad': 100.03254966970147, 'Vout': 0.528753}
{'pic value': 0.02869696809375343, 'ts': '20171130_100045_285', 'ring_rad': 100.02006822858439, 'Vout': 0.528727}
{'pic value': 0.028694460675580902, 'ts': '20171130_100045_292', 'ring_rad': 100.00205050640109, 'Vout': 0.528726}
{'pic value': 0.02862632797305762, 'ts': '20171130_100045_301', 'ring_rad': 99.99658742175095, 'Vout': 0.528658}
{'pic value': 0.028549700299554337, 'ts': '20171130_100045_309', 'ring_rad': 99.99231831827477, 'Vout': 0.528583}
{'pic value': 0.028606124987395593, 'ts': '20171130_100045_316', 'ring_rad': 99.96118648148024, 'Vout': 0.528639}
{'pic value': 0.028640622573497594, 'ts': '20171130_100045_325', 'ring_rad': 99.9344471608379, 'Vout': 0.528674}
{'pic value': 0.02868323902200777, 'ts': '20171130_100045_332', 'ring_rad': 99.90634295038653, 'Vout': 0.528716}
{'pic value': 0.028602917347724632, 'ts': '20171130_100045_341', 'ring_rad': 99.90315223417649, 'Vout': 0.528635}
{'pic value': 0.028639912608792697, 'ts': '20171130_100045_348', 'ring_rad': 99.8770084653094, 'Vout': 0.528671}
{'pic value': 0.028594938492253946, 'ts': '20171130_100045_358', 'ring_rad': 99.86786545446192, 'Vout': 0.528625}
{'pic value': 0.028720582250146717, 'ts': '20171130_100045_365', 'ring_rad': 99.82550580186869, 'Vout': 0.528749}
{'pic value': 0.028765940841151128, 'ts': '20171130_100045_374', 'ring_rad': 99.80033460099918, 'Vout': 0.528792}
{'pic value': 0.028726031106054355, 'ts': '20171130_100045_381', 'ring_rad': 99.7934039857331, 'Vout': 0.52875}
{'pic value': 0.028722016922412396, 'ts': '20171130_100045_388', 'ring_rad': 99.78054460722468, 'Vout': 0.528744}
{'pic value': 0.02869294755895333, 'ts': '20171130_100045_398', 'ring_rad': 99.7739729606735, 'Vout': 0.528713}
{'pic value': 0.028926593228563797, 'ts': '20171130_100045_405', 'ring_rad': 99.71651229085928, 'Vout': 0.528944}
{'pic value': 0.028978308613527154, 'ts': '20171130_100045_417', 'ring_rad': 99.69727131940694, 'Vout': 0.528992}
{'pic value': 0.028839413236223816, 'ts': '20171130_100045_424', 'ring_rad': 99.71780759623884, 'Vout': 0.528851}
{'pic value': 0.02890983725935508, 'ts': '20171130_100045_434', 'ring_rad': 99.69817951594787, 'Vout': 0.528918}
{'pic value': 0.02885657226140866, 'ts': '20171130_100045_443', 'ring_rad': 99.70491363188181, 'Vout': 0.528862}
{'pic value': 0.028974874695754056, 'ts': '20171130_100045_450', 'ring_rad': 99.67907210407314, 'Vout': 0.528978}
{'pic value': 0.029255566304582405, 'ts': '20171130_100045_463', 'ring_rad': 99.62287344263892, 'Vout': 0.529254}
{'pic value': 0.029249068931370255, 'ts': '20171130_100045_470', 'ring_rad': 99.62622979276912, 'Vout': 0.529244}
{'pic value': 0.029158654200398215, 'ts': '20171130_100045_479', 'ring_rad': 99.64824506833868, 'Vout': 0.529151}
{'pic value': 0.029200632801151254, 'ts': '20171130_100045_486', 'ring_rad': 99.64556733532548, 'Vout': 0.52919}
{'pic value': 0.029222338076402538, 'ts': '20171130_100045_494', 'ring_rad': 99.64864539438186, 'Vout': 0.529209}
{'pic value': 0.02917707578807339, 'ts': '20171130_100045_503', 'ring_rad': 99.66661985249975, 'Vout': 0.529161}
{'pic value': 0.029346059259804016, 'ts': '20171130_100045_510', 'ring_rad': 99.64332518427683, 'Vout': 0.529328}
{'pic value': 0.029333843665485807, 'ts': '20171130_100045_519', 'ring_rad': 99.65772778501358, 'Vout': 0.529313}
{'pic value': 0.02944320386262587, 'ts': '20171130_100045_526', 'ring_rad': 99.64925133378833, 'Vout': 0.52942}
{'pic value': 0.02949112613486947, 'ts': '20171130_100045_535', 'ring_rad': 99.65442052822029, 'Vout': 0.529466}
{'pic value': 0.029421358643715652, 'ts': '20171130_100045_542', 'ring_rad': 99.68421052624494, 'Vout': 0.529394}
{'pic value': 0.029411191703104408, 'ts': '20171130_100045_551', 'ring_rad': 99.70293368141431, 'Vout': 0.529383}
{'pic value': 0.029455467570614235, 'ts': '20171130_100045_559', 'ring_rad': 99.71149227468241, 'Vout': 0.529426}
{'pic value': 0.02949535105986544, 'ts': '20171130_100045_566', 'ring_rad': 99.72153596877455, 'Vout': 0.529465}
{'pic value': 0.029598634572613233, 'ts': '20171130_100045_575', 'ring_rad': 99.71947689188376, 'Vout': 0.529567}
{'pic value': 0.02942681907282316, 'ts': '20171130_100045_582', 'ring_rad': 99.77261370595195, 'Vout': 0.529395}
{'pic value': 0.02936033054766002, 'ts': '20171130_100045_594', 'ring_rad': 99.8045292601924, 'Vout': 0.529329}
{'pic value': 0.029424296979625997, 'ts': '20171130_100045_601', 'ring_rad': 99.81010365917334, 'Vout': 0.529394}
{'pic value': 0.029538547865252902, 'ts': '20171130_100045_608', 'ring_rad': 99.80539994026384, 'Vout': 0.529508}
{'pic value': 0.029589759709826687, 'ts': '20171130_100045_617', 'ring_rad': 99.81304067862624, 'Vout': 0.52956}
{'pic value': 0.02942318100986019, 'ts': '20171130_100045_625', 'ring_rad': 99.86360754163039, 'Vout': 0.529395}
{'pic value': 0.02933317009202345, 'ts': '20171130_100045_637', 'ring_rad': 99.89791456454289, 'Vout': 0.529307}
{'pic value': 0.029294603897429935, 'ts': '20171130_100045_644', 'ring_rad': 99.92079405536397, 'Vout': 0.52927}
{'pic value': 0.029357775772915394, 'ts': '20171130_100045_653', 'ring_rad': 99.92217595328619, 'Vout': 0.529335}
{'pic value': 0.029331483100690597, 'ts': '20171130_100045_661', 'ring_rad': 99.9402090172056, 'Vout': 0.529311}
{'pic value': 0.029352181128109958, 'ts': '20171130_100045_668', 'ring_rad': 99.94756105810741, 'Vout': 0.529334}
{'pic value': 0.029287872584802286, 'ts': '20171130_100045_677', 'ring_rad': 99.9704997214716, 'Vout': 0.529272}
{'pic value': 0.029069233449746018, 'ts': '20171130_100045_684', 'ring_rad': 100.02252812821654, 'Vout': 0.529056}
{'pic value': 0.029188868711418306, 'ts': '20171130_100045_693', 'ring_rad': 100.00522112606764, 'Vout': 0.529179}
{'pic value': 0.029098349474219565, 'ts': '20171130_100045_700', 'ring_rad': 100.02819160727093, 'Vout': 0.529091}
{'pic value': 0.02901369017746845, 'ts': '20171130_100045_709', 'ring_rad': 100.04811777303752, 'Vout': 0.52901}
{'pic value': 0.02900890068686144, 'ts': '20171130_100045_719', 'ring_rad': 100.05021616223277, 'Vout': 0.529008}
{'pic value': 0.02898598046569675, 'ts': '20171130_100045_726', 'ring_rad': 100.05412356365082, 'Vout': 0.528988}
{'pic value': 0.028927062076285828, 'ts': '20171130_100045_734', 'ring_rad': 100.0634076331085, 'Vout': 0.528932}
{'pic value': 0.02874140268588204, 'ts': '20171130_100045_743', 'ring_rad': 100.09603563677337, 'Vout': 0.52875}
{'pic value': 0.028676835827409982, 'ts': '20171130_100045_750', 'ring_rad': 100.10241303882381, 'Vout': 0.528689}
{'pic value': 0.028658423361734103, 'ts': '20171130_100045_759', 'ring_rad': 100.09762697319616, 'Vout': 0.528674}
{'pic value': 0.028760178526745346, 'ts': '20171130_100045_766', 'ring_rad': 100.06717389944802, 'Vout': 0.528778}
{'pic value': 0.028760258228503827, 'ts': '20171130_100045_776', 'ring_rad': 100.05562108028876, 'Vout': 0.52878}
{'pic value': 0.02876736089402732, 'ts': '20171130_100045_785', 'ring_rad': 100.04140621232253, 'Vout': 0.528789}
{'pic value': 0.028620479074870277, 'ts': '20171130_100045_792', 'ring_rad': 100.05669596348369, 'Vout': 0.528645}
{'pic value': 0.028555856802566518, 'ts': '20171130_100045_802', 'ring_rad': 100.05428275509514, 'Vout': 0.528582}
{'pic value': 0.028494930404834626, 'ts': '20171130_100045_813', 'ring_rad': 100.04996404053122, 'Vout': 0.528523}
{'pic value': 0.028460903014693152, 'ts': '20171130_100045_822', 'ring_rad': 100.0392301837606, 'Vout': 0.528491}
{'pic value': 0.028519435731772926, 'ts': '20171130_100045_829', 'ring_rad': 100.00922419453805, 'Vout': 0.52855}
{'pic value': 0.028594737370947497, 'ts': '20171130_100045_838', 'ring_rad': 99.97543046852249, 'Vout': 0.528626}
{'pic value': 0.02851440129250171, 'ts': '20171130_100045_845', 'ring_rad': 99.97243137820635, 'Vout': 0.528546}
{'pic value': 0.028527975062656946, 'ts': '20171130_100045_854', 'ring_rad': 99.95049580574525, 'Vout': 0.52856}
{'pic value': 0.0284261409106172, 'ts': '20171130_100045_861', 'ring_rad': 99.95152849486102, 'Vout': 0.528458}
{'pic value': 0.02832837756374464, 'ts': '20171130_100045_868', 'ring_rad': 99.95163957540458, 'Vout': 0.528361}
{'pic value': 0.02839222419808108, 'ts': '20171130_100045_877', 'ring_rad': 99.91955830958277, 'Vout': 0.528424}
{'pic value': 0.028547768126526228, 'ts': '20171130_100045_884', 'ring_rad': 99.86967920292092, 'Vout': 0.528579}
{'pic value': 0.02864618692299613, 'ts': '20171130_100045_892', 'ring_rad': 99.83210681667097, 'Vout': 0.528675}
{'pic value': 0.028547069968647257, 'ts': '20171130_100045_901', 'ring_rad': 99.83494051537453, 'Vout': 0.528575}
{'pic value': 0.028425111110900556, 'ts': '20171130_100045_908', 'ring_rad': 99.84314850614874, 'Vout': 0.528452}
{'pic value': 0.028467304687955997, 'ts': '20171130_100045_917', 'ring_rad': 99.81946038485376, 'Vout': 0.528492}
{'pic value': 0.028642108178249776, 'ts': '20171130_100045_924', 'ring_rad': 99.77054434247857, 'Vout': 0.528665}
{'pic value': 0.028678001904129394, 'ts': '20171130_100045_934', 'ring_rad': 99.75088594342542, 'Vout': 0.528698}
{'pic value': 0.028744134785569517, 'ts': '20171130_100045_943', 'ring_rad': 99.72681006720354, 'Vout': 0.528761}
{'pic value': 0.02877355160354868, 'ts': '20171130_100045_951', 'ring_rad': 99.71179940272849, 'Vout': 0.528788}
{'pic value': 0.028797877536710557, 'ts': '20171130_100045_960', 'ring_rad': 99.69958091497962, 'Vout': 0.528809}
{'pic value': 0.028800624855994602, 'ts': '20171130_100045_967', 'ring_rad': 99.6934534448485, 'Vout': 0.528809}
{'pic value': 0.028816497128549484, 'ts': '20171130_100045_976', 'ring_rad': 99.68647251117936, 'Vout': 0.528822}
{'pic value': 0.02887769314032121, 'ts': '20171130_100045_989', 'ring_rad': 99.67224754485993, 'Vout': 0.52888}
{'pic value': 0.02893016975643453, 'ts': '20171130_100045_996', 'ring_rad': 99.66162119138012, 'Vout': 0.528929}
{'pic value': 0.028918384463016804, 'ts': '20171130_100046_005', 'ring_rad': 99.66562355122325, 'Vout': 0.528915}
{'pic value': 0.02900406797800111, 'ts': '20171130_100046_013', 'ring_rad': 99.65193314715111, 'Vout': 0.528997}
{'pic value': 0.028996228459320938, 'ts': '20171130_100046_020', 'ring_rad': 99.65865709822745, 'Vout': 0.528987}
{'pic value': 0.028895228712547967, 'ts': '20171130_100046_029', 'ring_rad': 99.68545538864711, 'Vout': 0.528883}
{'pic value': 0.029015471290352614, 'ts': '20171130_100046_036', 'ring_rad': 99.66945978207664, 'Vout': 0.529001}
